Propuesta,Link,Empresa,Fecha
Project Manager área Tecnología - para Xn Partners,https://www.computrabajo.com.uy/ofertas-de-trabajo/oferta-de-trabajo-de-project-manager-area-tecnologia-para-xn-partners-en-montevideo-56FCEFC42076BD56,Aegis Consultora Organizacional,23 mayo
Programador Android iOS - CUA 12,https://www.computrabajo.com.uy/ofertas-de-trabajo/oferta-de-trabajo-de-programador-android-ios-cua-12-en-punta-del-este-ECC886715BBB51AA,Cualit,23 mayo
Ingenieros Licenciados y Analistas de Sistemas - Para importante proyecto de renovación tecnológica,https://www.computrabajo.com.uy/ofertas-de-trabajo/oferta-de-trabajo-de-ingenieros-licenciados-y-analistas-de-sistemas-para-importante-proyecto-de-renovacion-tecnologica-en-montevideo-EE8D60CA75A4F1F6,DCA Contadores y Asociados,23 mayo
iOS Developer Junior,https://www.computrabajo.com.uy/ofertas-de-trabajo/oferta-de-trabajo-de-ios-developer-junior-en-montevideo-546D68F5A8217746,Búsquedas IT,22 mayo
Técnico de Soporte,https://www.computrabajo.com.uy/ofertas-de-trabajo/oferta-de-trabajo-de-tecnico-de-soporte-en-montevideo-8B7167545A0B4BDF,Applica,22 mayo
Estudiante  - para chequeo de modems y onts,https://www.computrabajo.com.uy/ofertas-de-trabajo/oferta-de-trabajo-de-estudiante--para-chequeo-de-modems-y-onts-en-montevideo-E78DFA205A888113,Isbel,22 mayo
Administrador de Sistemas Jr. ,https://www.computrabajo.com.uy/ofertas-de-trabajo/oferta-de-trabajo-de-administrador-de-sistemas-jr--en-montevideo-B7F1E37F017DBA89,BANCA DE CUBIERTA COLECTIVA DE QUINIELAS DE M,22 mayo
System Admin,https://www.computrabajo.com.uy/ofertas-de-trabajo/oferta-de-trabajo-de-system-admin-en-montevideo-5A63FC70D9765A91,Applica,22 mayo
Técnico de Infraestructura de Sistemas  - Jornada Nocturna,https://www.computrabajo.com.uy/ofertas-de-trabajo/oferta-de-trabajo-de-tecnico-de-infraestructura-de-sistemas--jornada-nocturna-en-montevideo-1131B70E035BC141,Applica,22 mayo
C Plus Plus Developer - Ingles Avanzado,https://www.computrabajo.com.uy/ofertas-de-trabajo/oferta-de-trabajo-de-c-plus-plus-developer-ingles-avanzado-en-montevideo-751AC8E66A1ECCE1,Applica,22 mayo
Fronted Developer,https://www.computrabajo.com.uy/ofertas-de-trabajo/oferta-de-trabajo-de-fronted-developer-en-montevideo-FEEC686FB64C9906,Applica,22 mayo
Desarrollador C++ - Orientado a Arduino ,https://www.computrabajo.com.uy/ofertas-de-trabajo/oferta-de-trabajo-de-desarrollador-c-orientado-a-arduino--en-montevideo-6BCADC3512329961,Consultora Humanphi,22 mayo
Desarrollador de Aplicaciones Móviles  - Junior,https://www.computrabajo.com.uy/ofertas-de-trabajo/oferta-de-trabajo-de-desarrollador-de-aplicaciones-moviles--junior-en-montevideo-4D283D5ED3E8F3AE,Consultora Humanphi,22 mayo
Tester SemiSenior  - Ingles avanzado,https://www.computrabajo.com.uy/ofertas-de-trabajo/oferta-de-trabajo-de-tester-semisenior--ingles-avanzado-en-montevideo-5C7DE75E3D37BDD6,Applica,22 mayo
Data Integration Engineer  - Ingles Avanzado,https://www.computrabajo.com.uy/ofertas-de-trabajo/oferta-de-trabajo-de-data-integration-engineer--ingles-avanzado-en-montevideo-D5DA5DBF3993E6CB,Applica,22 mayo
Java Developer  - Ingles avanzado,https://www.computrabajo.com.uy/ofertas-de-trabajo/oferta-de-trabajo-de-java-developer--ingles-avanzado-en-montevideo-62F17CEDB2934E88,Applica,22 mayo
.Net Developer,https://www.computrabajo.com.uy/ofertas-de-trabajo/oferta-de-trabajo-de-net-developer-en-montevideo-17F31642B1103AD7,Applica,22 mayo
.Net Developer - Ingles Avanazado,https://www.computrabajo.com.uy/ofertas-de-trabajo/oferta-de-trabajo-de-net-developer-ingles-avanazado-en-montevideo-48C6467463325F02,Applica,22 mayo
Operador de Soporte para Servicios - Mesa de Ayuda,https://www.computrabajo.com.uy/ofertas-de-trabajo/oferta-de-trabajo-de-operador-de-soporte-para-servicios-mesa-de-ayuda-en-montevideo-F89845BD2EC5F248,New Age Data,22 mayo
Desarrollador GX,https://www.computrabajo.com.uy/ofertas-de-trabajo/oferta-de-trabajo-de-desarrollador-gx-en-montevideo-6596DF952F3AAAAA,New Age Data,22 mayo
SSr Angular,https://www.computrabajo.com.uy/ofertas-de-trabajo/oferta-de-trabajo-de-ssr-angular-en-montevideo-81A0C5CF24BB2914,Aglh,21 mayo
Desarrollador Web,https://www.computrabajo.com.uy/ofertas-de-trabajo/oferta-de-trabajo-de-desarrollador-web-en-montevideo-36EF39B92CA910AF,Aglh,21 mayo
Business Intelligence Programmer,https://www.computrabajo.com.uy/ofertas-de-trabajo/oferta-de-trabajo-de-business-intelligence-programmer-en-montevideo-F5FE4B7E375A9232,Advice,21 mayo
Project manager,https://www.computrabajo.com.uy/ofertas-de-trabajo/oferta-de-trabajo-de-project-manager-en-montevideo-8864E1E49B173B4E,Búsquedas IT,21 mayo
AGT DBA Data Base Administrator,https://www.computrabajo.com.uy/ofertas-de-trabajo/oferta-de-trabajo-de-agt-dba-data-base-administrator-en-montevideo-079BB169810FBED2,Advice,21 mayo
"TECHNISYS Developer full stack  Java, JavaScript, HTML, CSS",https://www.computrabajo.com.uy/ofertas-de-trabajo/oferta-de-trabajo-de-technisys-developer-full-stack-java-javascript-html-css-en-montevideo-8D656FFCBAA6A7DC,Advice,21 mayo
Desarrollador php Semi Senior,https://www.computrabajo.com.uy/ofertas-de-trabajo/oferta-de-trabajo-de-desarrollador-php-semi-senior-en-montevideo-2A7A3CA4FDB2A184,Búsquedas IT,21 mayo
Desarrollador Backend - Horario flexible,https://www.computrabajo.com.uy/ofertas-de-trabajo/oferta-de-trabajo-de-desarrollador-backend-horario-flexible-en-montevideo-33926A4F56BF4911,Sustantiva Equipo Consultor.,21 mayo
Senior Full Stack Developers -  Oficina en Zonamerica,https://www.computrabajo.com.uy/ofertas-de-trabajo/oferta-de-trabajo-de-senior-full-stack-developers--oficina-en-zonamerica-en-montevideo-B5A52E3DB3429D67,Travelgenio,21 mayo
Desarrollador android,https://www.computrabajo.com.uy/ofertas-de-trabajo/oferta-de-trabajo-de-desarrollador-android-en-montevideo-7FC4A5D77E052FED,Búsquedas IT,21 mayo
AGT: Programador de Juegos HTML5,https://www.computrabajo.com.uy/ofertas-de-trabajo/oferta-de-trabajo-de-agt-programador-de-juegos-html5-en-montevideo-02512E914D6ED026,Advice,21 mayo
Desarrollador Java - Play Framework,https://www.computrabajo.com.uy/ofertas-de-trabajo/oferta-de-trabajo-de-desarrollador-java-play-framework-en-montevideo-66B761688477B60E,Aglh,21 mayo
"TECHNISYS: Líder Técnico (Java, JavaScript, HTML, CSS)",https://www.computrabajo.com.uy/ofertas-de-trabajo/oferta-de-trabajo-de-technisys-lider-tecnico-java-javascript-html-css-en-montevideo-D0772ABD61A9EE84,Advice,21 mayo
Estudiantes o egresados de Ingeniería en Telecomunicaciones/Telemática  - Para destacada empresa del medio con amplia trayectoria,https://www.computrabajo.com.uy/ofertas-de-trabajo/oferta-de-trabajo-de-estudiantes-o-egresados-de-ingenieria-en-telecomunicacionestelematica--para-destacada-empresa-del-medio-con-amplia-trayectoria-en-montevideo-09F93C435A19611B,Aegis Consultora Organizacional,21 mayo
Telecomunicaciones y redes - se valorará experiencia,https://www.computrabajo.com.uy/ofertas-de-trabajo/oferta-de-trabajo-de-telecomunicaciones-y-redes-se-valorara-experiencia-en-montevideo-E41F1CE977C98F2D,Estilo SRL,19 mayo
Soporte a Usuarios - se valorará experiencia,https://www.computrabajo.com.uy/ofertas-de-trabajo/oferta-de-trabajo-de-soporte-a-usuarios-se-valorara-experiencia-en-montevideo-186FF23C20813E11,Estilo SRL,19 mayo
Desarrollo de Software - se valorara experiencia,https://www.computrabajo.com.uy/ofertas-de-trabajo/oferta-de-trabajo-de-desarrollo-de-software-se-valorara-experiencia-en-montevideo-00ECD27FF4B616DB,Estilo SRL,19 mayo
Especialista en seguridad de la información - Experiencia excluyente,https://www.computrabajo.com.uy/ofertas-de-trabajo/oferta-de-trabajo-de-especialista-en-seguridad-de-la-informacion-experiencia-excluyente-en-montevideo-050567DA36FBBC23,Estilo SRL,19 mayo
MercadoLibre Representante de Atención al Cliente - Part Time Matutino,https://www.computrabajo.com.uy/ofertas-de-trabajo/oferta-de-trabajo-de-mercadolibre-representante-de-atencion-al-cliente-part-time-matutino-en-montevideo-80A3153237A199B9,Manpower Group,18 mayo
AGT: Programador Web,https://www.computrabajo.com.uy/ofertas-de-trabajo/oferta-de-trabajo-de-agt-programador-web-en-montevideo-BA0A7CDA1DBAB609,Advice,18 mayo
MercadoLibre Representante de Atención al Cliente - Part Time Vespertino,https://www.computrabajo.com.uy/ofertas-de-trabajo/oferta-de-trabajo-de-mercadolibre-representante-de-atencion-al-cliente-part-time-vespertino-en-montevideo-00C0A377488519D1,Manpower Group,18 mayo
